district,locality,price_raw,price_num,area_raw,area_sqft,price_per_sqft,price_per_sqft_calc,cents,price_per_cent
alappuzha,Kattanam,₹39 Lac,3900000,"5,662 sqft",5662,,688.8025433,12.99816345,300042.3878
alappuzha,Purakkad,₹90 Lac,9000000,"6,534 sqft",6534,,1377.410468,15,600000
alappuzha,Kareelakulangara,₹1.14 Cr,11400000,"10,454 sqft",10454,,1090.491678,23.99908173,475018.1749
alappuzha,Thottappally,₹8 Cr,80000000,"1,05,415 sqft",105415,,758.9052791,241.9995409,330579.1396
alappuzha,Vayalar,₹5.9 Cr,59000000,"25,700 sqft",25700,,2295.719844,58.99908173,1000015.564
alappuzha,Kalarcode,₹23 Lac,2300000,"3,136 sqft",3136,,733.4183673,7.199265381,319477.0408
alappuzha,Chunakkara,₹33 Lac,3300000,"12,632 sqft",12632,,261.241292,28.99908173,113796.7068
alappuzha,Veeyapuram,₹67.21 Lac,6721000,"12,458 sqft",12458,,539.4926955,28.59963269,235003.0181
alappuzha,Arattuvazhi,₹4.9 Lac,490000,"3,049 sqft",3049,,160.708429,6.999540863,70004.59167
alappuzha,Chengannur,₹1.73 Cr,17300000,"50,094 sqft",50094,,345.3507406,115,150434.7826
alappuzha,Kadakkarappally,₹18 Lac,1800000,"5,227 sqft",5227,,344.365793,11.99954086,150005.7394
alappuzha,Ambalapuzha,₹25 Lac,2500000,"4,356 sqft",4356,,573.9210285,10,250000
alappuzha,Kallissery,₹90 Lac,9000000,"12,632 sqft",12632,,712.4762508,28.99908173,310354.6548
alappuzha,Mavelikara,₹50 Lac,5000000,"4,628 sqft",4628,,1080.380294,10.62442608,470613.656
alappuzha,kanjirathmoodu,₹3 Cr,30000000,"1,30,680 sqft",130680,,229.5684114,300,100000
alappuzha,Mavelikara,₹1.2 Cr,12000000,"43,560 sqft",43560,,275.4820937,100,120000
alappuzha,Kunnam,₹51 Lac,5100000,"5,915 sqft",5915,,862.2147084,13.57897153,375580.727
alappuzha,Vezhapra,₹1.4 Cr,14000000,"15,000 sqft",15000,,933.3333333,34.43526171,406560
alappuzha,Kunnam,₹51.61 Lac,5161000,"5,915 sqft",5915,,872.5274725,13.57897153,380072.967
alappuzha,Kayamkulam,₹85 Lac,8500000,"11,761 sqft",11761,,722.7276592,26.99954086,314820.1684
alappuzha,Mannar,₹65 Lac,6500000,"13,068 sqft",13068,,497.3982247,30,216666.6667
alappuzha,Kuthiathodu,₹1.15 Cr,11500000,"10,890 sqft",10890,,1056.014692,25,460000
alappuzha,Chengannur,₹8.45 Lac,845000,"2,178 sqft",2178,,387.9706152,5,169000
alappuzha,Kayamkulam,₹1.12 Cr,11200000,"6,079 sqft",6079,,1842.408291,13.95546373,802553.0515
alappuzha,Mavelikara,₹1.6 Cr,16000000,"43,560 sqft",43560,,367.3094582,100,160000
alappuzha,Kayamkulam,₹1.12 Cr,11200000,"6,098 sqft",6098,,1836.66776,13.99908173,800052.4762
alappuzha,Cherthala,₹67.5 Lac,6750000,"19,602 sqft",19602,,344.3526171,45,150000
